ProfileID,FirstName,LastName,BirthDate,EmailAddress,CardNumber,ExpirationDate,PostalCode,DefaultAddress,AddressType,CardStatus,MembershipStatus
1238152818,465617241FN,465617241LN,28/8/1980,465617241FN@465617241LN.com,3875465617241,54:49.7,75063,TRUE,Mailing,Active,Active
1253657175,FN2272229041,LN2272229041,1/1/1980,email2272229041@gamestop.com,3875811612403,54:49.7,71863,TRUE,Mailing,Active,NotActivatedOnSite
1253657334,TESTERcp,TESTERcp,1/1/1991,bf_gsdc64@qagsecomprod.oib.com,3876110389376,54:49.7,76051,TRUE,Shipping,Active,Active
1253657334,TESTERcp,TESTERcp,1/1/1991,bf_gsdc64@qagsecomprod.oib.com,3876110389376,54:49.7,76051,TRUE,Billing,Active,Active
1253657498,Bruce,Wayne,1/1/2000,857d2429-f480-4ba7-baa8-647cd2991aa7@gamestop.com,3876558137417,54:49.7,76201,TRUE,Mailing,Active,Returned
1253658388,Bruce,Wayne,1/1/2000,a4e8b237-4b9d-472d-b8d6-d1bad1251a5b@gamestop.com,3875719616305,54:49.7,99269,TRUE,Mailing,Active,Active
1253658390,Bruce,Wayne,1/1/2000,5fd8abad-409a-4774-993b-5b40a6e44482@gamestop.com,3875938732685,54:49.7,12987,TRUE,Mailing,Active,Active
1253660066,Bruce,Wayne,1/1/2000,9aae02c2-0ea7-4756-8875-943f5f2b7055@gamestop.com,3876701856394,54:49.7,73558,TRUE,Mailing,Active,Terminated
1253660737,Bruce,Wayne,1/1/2000,0d4e8c7a-330f-4c31-a433-9542929cdcb3@gamestop.com,3875115003265,54:49.7,87923,TRUE,Mailing,Active,Active
1253660739,Bruce,Wayne,1/1/2000,9efde4b3-a16c-4ea5-bf50-dc2a7718dd39@gamestop.com,3875925674511,54:49.7,76233,TRUE,Mailing,Active,Active
1253666692,FN9058575096,LN9058575096,1/1/1980,email9058575096@gamestop.com,3875184945412,54:49.7,71863,TRUE,Mailing,Active,NotActivatedOnSite
1253686610,FN1064101777,LN1064101777,1/1/1980,email1064101777@qagsecomprod.oib.com,3875435111846,54:49.7,71862,TRUE,Mailing,Active,NotActivatedOnSite
1253692518,Gavin,Rosdale,1/1/1970,gavinrosdale@testfakeemail.com,3876645200213,54:49.7,91119,TRUE,Mailing,Active,NotActivatedOnSite
1253698773,FN1654956964,LN1654956964,1/1/1980,email1654956964@test.com,3875567833712,54:49.7,71862,TRUE,Mailing,Active,Active
1253686619,Daniel,Soosai,,profilewithdefstore@gs.com,3876196767820,54:49.7,75060,TRUE,Mailing,Active,NotActivatedOnSite
1252455023,Daniel,Soosai,,mondaymorningaddress@gamestop.com,3876122230099,54:49.7,75038,TRUE,Shipping,Active,NotActivatedOnSite
1250763989,Daniel,Soosai,,withcountry21@gspcauto.fav.cc,3876602788229,54:49.7,42909,TRUE,Mailing,Active,NotActivatedOnSite
1253715291,JAHIR,BROWN,1/1/1980,JAHIR.BROWN@BROWNrew.com,3876963963988,23:01.5,75215,TRUE,Mailing,Active,NotActivatedOnSite
1251695016,Daniel,Soosai,,nknk234@nk.com,3876602998999,54:31.9,42909,TRUE,Mailing,Active,Terminated
1253722088,email name,d0d876fb-860f-4a6e-afab-e294465de9bd,31/7/1993,something344new12@hotmail.com,3876602348220,16:58.9,42909,TRUE,Mailing,Active,NotActivatedOnSite
1253723254,Test,Test,1/1/1980,email1813844386@qagsecomprod.oib.com,3875192234013,24:58.1,71862,TRUE,Mailing,Active,Active
1253725610,FN1163945699,LN1163945699,1/1/1980,email1163945699@qagsecomprod.oib.com,3875802803124,22:40.6,71862,TRUE,Mailing,Active,Active
1253725612,FN1909247803,LN1909247803,1/1/1980,ebpurpro1909247803@qagsecomprod.oib.com,3875814123271,28:03.7,71862,TRUE,Mailing,Active,NotActivatedOnSite
1253730190,FN773918917,LN773918917,1/1/1980,bf_GSdc85@qagsecomprod.oib.com,3875001370651,33:29.9,76051,TRUE,Billing,Active,Active
1253730190,FN773918917,LN773918917,1/1/1980,bf_GSdc85@qagsecomprod.oib.com,3875001370651,33:29.9,76051,TRUE,Shipping,Active,Active
1253730190,FN773918917,LN773918917,1/1/1980,bf_GSdc85@qagsecomprod.oib.com,3875001370651,33:29.9,71862,TRUE,Mailing,Active,Active
1253730192,FN2123852447,LN2123852447,1/1/1980,eferwferw@test.com,3875624103612,44:01.6,71862,TRUE,Mailing,Active,Active
1253745294,FN571934223,LN571934223,1/9/1988,email571934223@qagsecomprod.oib.com,3875406462640,48:53.1,75063,TRUE,Mailing,Active,Active
1253745296,FN1796014600,LN1796014600,1/1/1980,email1796014600@qagsecomprod.oib.com,3875753621764,48:56.7,71862,TRUE,Mailing,Active,NotActivatedOnSite
1253746456,John,Mulhern,9/1/1989,jm@me.com,3875951909953,,76039,TRUE,Mailing,Active,NotActivatedOnSite
1253747564,email name,d0d876fb-860f-4a6e-afab-e294465de9bd,31/7/1993,som99290@hotmail.com,3876602999993,40:48.6,42909,TRUE,Mailing,Active,NotActivatedOnSite
1253747664,FN173454390,LN173454390,1/1/1980,email173454390@qagsecomprod.oib.com,3875361804596,00:09.1,71862,TRUE,Mailing,Active,NotActivatedOnSite
1238561445,ButchCPP,TestCP,1/1/1991,bf_gsdc6@qagsecomprod.oib.com,3875853192224,54:49.7,76051,TRUE,Shipping,Active,Active
1238561445,ButchCPP,TestCP,1/1/1991,bf_gsdc6@qagsecomprod.oib.com,3875853192224,54:49.7,76051,TRUE,Billing,Active,Active
1238561445,ButchCPP,TestCP,1/1/1991,bf_gsdc6@qagsecomprod.oib.com,3875853192224,54:49.7,76051,TRUE,Mailing,Active,Active
1253657182,FN7706105156,LN7706105156,1/1/1980,email7706105156@gamestop.com,3875053514291,54:49.7,71863,TRUE,Mailing,Active,NotActivatedOnSite
1253657491,Bruce,Wayne,1/1/2000,111bfe63-5818-45c3-9689-8ce93380e72a@gamestop.com,3875355005302,54:49.7,2836,TRUE,Mailing,Active,Active
1253657492,Bruce,Wayne,1/1/2000,ceee274c-4087-482b-bb76-889dd726062b@gamestop.com,3875480217113,54:49.7,41427,TRUE,Mailing,Active,Active
1253658166,Chito,Miranda,1/1/1980,chito@miranda.com,3876889977633,54:49.7,34747,TRUE,Mailing,Active,NotActivatedOnSite
1253658395,Bruce,Wayne,1/1/2000,4bae17b8-2483-4992-a492-0f2d41bec882@gamestop.com,3876651620597,54:49.7,14060,TRUE,Mailing,Active,Returned
1253660063,Bruce,Wayne,1/1/2000,7536813b-d418-49cf-a87d-72cf119ea533@gamestop.com,3876727228929,54:49.7,74408,TRUE,Mailing,Active,Deactivated
1253660732,Bruce,Wayne,1/1/2000,divajones48@yahoo.com,3875092117560,54:49.7,72068,TRUE,Mailing,Active,Active
1253660743,Bruce,Wayne,1/1/2000,5a29b41a-0310-4c6e-9a60-42c34ebdefb2@gamestop.com,3876637524779,54:49.7,68487,TRUE,Mailing,Active,Cancelled
1253661629,JAKE_EDIT,CAMACHO,,TEST@TEST696.COM,3876888866696,20:46.4,75069,TRUE,Mailing,Active,NotActivatedOnSite
1253666684,FN2983535883,LN2983535883,1/1/1980,email2983535883@gamestop.com,3875860061471,54:49.7,71863,TRUE,Mailing,Active,NotActivatedOnSite
1253666685,FN8405904269,LN8405904269,1/1/1980,email8405904269@gamestop.com,3875691443622,54:49.7,71863,TRUE,Mailing,Active,NotActivatedOnSite
1253666699,FN3612690182,LN3612690182,1/1/1980,email3612690182@gamestop.com,3875296094600,54:49.7,71863,TRUE,Mailing,Active,NotActivatedOnSite
1253677175,FN1103269964,LN1103269964,1/1/1980,email1103269964@test.com,3875713321091,54:49.7,71862,TRUE,Mailing,Active,NotActivatedOnSite
1253682248,FN1868610931,LN1868610931,1/1/1980,email1868610931@test.com,3875716650421,54:49.7,76051,TRUE,Mailing,Active,Active
1253693482,m,m,,abc@gs.com,3876999912314,54:49.7,11111,TRUE,Mailing,Active,NotActivatedOnSite
1253694160,Daniel,Soosai,,nknk13@nk.com,3876602112091,31:46.1,42909,TRUE,Mailing,Active,NotActivatedOnSite
1253704408,FN2783189906,LN2783189906,1/1/1980,email2783189906@gamestop.com,3875136402240,54:49.7,71863,TRUE,Mailing,Active,NotActivatedOnSite
1253207125,Daniel,Soosai,,profilewithshippingdefnew@gs.com,3876012337820,54:49.7,75060,TRUE,Mailing,Active,NotActivatedOnSite
1253207125,Daniel,Soosai,,profilewithshippingdefnew@gs.com,3876012337820,54:49.7,76051,TRUE,Shipping,Active,NotActivatedOnSite
1253707535,Daniel,Soosai,,profilewithmailingdefnew@gs.com,3876014437820,54:49.7,75060,TRUE,Mailing,Active,NotActivatedOnSite
1253712967,accept,mymoney,1/3/1964,ebpurpro@qagsecomprod.oib.com,3875866170741,43:23.9,76051,TRUE,Shipping,Active,Active
1253718726,funcTest_Bruce,funcTest_Wayne,1/1/1970,b81b7d84-71c6-429e-b916-ba8c278e4a38@gs.com,3876486169817,24:42.3,89185,TRUE,Mailing,Active,Terminated
1253725603,FN392302073,LN392302073,1/1/1980,ebpurpro392302073@qagsecomprod.oib.com,3875683830501,24:56.2,71862,TRUE,Mailing,Active,NotActivatedOnSite
1253725604,FN806057181,LN806057181,1/1/1980,email806057181@qagsecomprod.oib.com,3875326802008,26:15.0,71862,TRUE,Mailing,Active,NotActivatedOnSite
1238707822,Daniel,Soosai,,est@aol.com,3875056966918,49:24.6,75555,TRUE,Shipping,Active,NotActivatedOnSite
1238707822,Daniel,Soosai,,est@aol.com,3875056966918,49:24.6,42909,TRUE,Mailing,Active,NotActivatedOnSite
1253745288,FN743174868,LN743174868,1/1/1980,email743174868@qagsecomprod.oib.com,3875817311691,48:40.4,71862,TRUE,Mailing,Active,Active
1253747569,EnrollTestFN8445,EnrollTestLN8445,18/10/1993,EnrollTestEmail8445@gs.com,3876681039550,53:20.1,75025,TRUE,Mailing,Active,NotActivatedOnSite
1253747570,FN2060237468,LN2060237468,1/1/1980,email2060237468@qagsecomprod.oib.com,3875417592724,56:17.0,71862,TRUE,Mailing,Active,NotActivatedOnSite
181,Daniel,Soosai,,Myra.McNeil1@rr.com,3875044999566,39:33.0,42909,TRUE,Mailing,Active,NotActivatedOnSite
