Pro,ProCard,Basic,BasicCard,NonMemberGenesis,NonMemberProfile
5129682522,3876137669602,7758674403,3875069599282,7168946356,6062972858
3038530673,3876018387696,4842692154,3875079479087,3027360936,8595738075
6023308801,3876075216739,6789145830,3875086024405,4802968763,3473737742
9195567402,3876020162400,7175764636,3875079479079,2103929628,5743396440
2017411494,3876009933409,5712965030,3875085302679,2104454702,4074524761
2402918357,3876028353530,7875171007,3875046569085,9727048491,8436078145
7136956570,3876040493322,2519865952,3875044168534,7409745305,9103085175
4325233330,3876005856190,4849198823,3875031080825,8155893239,7742390875
3017914537,3876010382984,9255480433,3875046254928,3235522581,2298699992
9722786252,3876005896857,9512549870,3875027746967,2023690519,2152519765
2105731553,3876029351517,2053391890,3875033088750,2108978593,5703269713
6309577614,3876019322635,7405902449,3875040111413,3522795998,8572514787
4013988982,3876010862662,6017020793,3875043923780,4198827793,5132677693
5126955498,3876114919566,8082941771,3875067484263,6467525552,5852873385
8609176568,3876006778336,2156126889,3875027615329,7147427688,2403300217
7045754276,3876015477474,9567716039,3875055060414,4174379776,2526436006
6122277680,3876007422140,4019528450,3875083936551,4177442236,5702369576
6365447828,3876018376293,5128254545,3875039725793,5418409716,4102531243
5182508617,3876018628024,8653683405,3875079409506,7068310659,6063717328
5127899043,3876030320337,7185065453,3875028875906,5555555555,8049382321
9087632329,3876021649959,8015770806,3875081259550,3172389396,2075574420
3373520065,3876107415978,9098747414,3875044340877,2536531313,2072980287
6463877594,3876098967110,9567653532,3875055060422,8505574213,4044537929
8325265270,3876016869893,3373261004,3875067840308,4127410195,5712648304
6096947482,3876019752369,2168516308,3875072106034,8607412403,6179597544
9036419308,3876007072481,2174601374,3875031880752,2173702345,7044747208
2197126873,3876028357820,9179955109,3875033010879,7134923522,8644618320
6305645728,3876014435887,6147619226,3875055003851,9363367302,5186617448
8456640908,3876015494602,5623261419,3875033024672,2816920035,5082384123
8592700178,3876012756516,6788875633,3875028464248,2812885849,7578171521
